Timestamp,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_memory_failures_total,container_memory_rss,container_memory_usage_bytes,container_memory_working_set_bytes,container_memory_cache,container_network_receive_bytes_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_packets_total,container_processes,container_sockets,container_threads,container_file_descriptors,container_last_seen
2026-07-16 05:30:34.009221,0.0,0.0,0.0,11.914024,17.933404,6.019379,902412.0,148811776.0,400654336.0,377982976.0,88662016.0,7108083.0,60152.0,12585972.0,37528.0,0.0,0.0,0.0,0.0,1784179834.0
2026-07-16 05:30:35.090743,0.0,0.0,0.0,11.914024,17.933404,6.019379,902412.0,148811776.0,400654336.0,377982976.0,88662016.0,7108083.0,60152.0,12585972.0,37528.0,0.0,0.0,0.0,0.0,1784179835.0
2026-07-16 05:30:36.176625,0.0,0.0,0.0,11.916888,17.936268,6.019379,902460.0,148885504.0,400728064.0,378056704.0,88662016.0,7172119.0,60536.0,12593908.0,37599.0,0.0,0.0,0.0,0.0,1784179836.0
2026-07-16 05:30:37.254285,0.0,0.0,0.0,11.919655,17.939035,6.019379,902524.0,148983808.0,400834560.0,378163200.0,88666112.0,7238133.0,60827.0,12601644.0,37655.0,0.0,0.0,0.0,0.0,1784179837.0
2026-07-16 05:30:38.338601,0.0,0.0,0.0,11.919655,17.939035,6.019379,902524.0,148983808.0,400834560.0,378163200.0,88666112.0,7238133.0,60827.0,12601644.0,37655.0,0.0,0.0,0.0,0.0,1784179838.0
2026-07-16 05:30:39.412833,0.0,0.0,0.0,11.930431,17.949811,6.019379,902916.0,149573632.0,401436672.0,378744832.0,88682496.0,7276389.0,61010.0,12635668.0,37819.0,0.0,0.0,0.0,0.0,1784179839.0
2026-07-16 05:30:40.498960,0.0,0.0,0.0,11.93627,17.95565,6.019379,903172.0,149966848.0,401846272.0,379146240.0,88694784.0,7299478.0,61123.0,12660232.0,37957.0,0.0,0.0,0.0,0.0,1784179840.0
2026-07-16 05:30:41.578675,0.0,0.0,0.0,11.945548,17.964928,6.019379,903428.0,150360064.0,402403328.0,379695104.0,88702976.0,7305286.0,61211.0,12690196.0,38089.0,0.0,0.0,0.0,0.0,1784179841.0
2026-07-16 05:30:42.654640,0.0,0.0,0.0,11.945548,17.964928,6.019379,903428.0,150360064.0,402403328.0,379695104.0,88702976.0,7305286.0,61211.0,12690196.0,38089.0,0.0,0.0,0.0,0.0,1784179842.0
2026-07-16 05:30:43.736536,0.0,0.0,0.0,11.950399,17.969778,6.019379,903534.0,150519808.0,402411520.0,379699200.0,88707072.0,7365815.0,61822.0,12731013.0,38700.0,0.0,0.0,0.0,0.0,1784179843.0
