dst_port,protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,fwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
80,6,1055.0,11281516.587677728,12322.274881516589,6635.071090047394,5687.203791469195,7,6,561,11341,149,66,80.14285714285714,28.3268099733328,7306,66,1890.1666666666667,2629.3401210612183,7306,66,915.5384615384615,2001.3609836764203,4005445.786982249,140,120,20,1,87.91666666666666,209.0,0.0,79.88894201049077,1055.0,347.0,0.0,175.8333333333,101.0600756426,874.0,387.0,1.0,174.79999999999998,165.0653204037,1,0,2,3,0,4,11,0,0,0.8571428571428571,915.5384615384615,64240,65160,80.14285714285714,1890.1666666666667,0,7,6,561,11341,0
80,6,759.0,15849802.371541502,19762.84584980237,11857.707509881422,7905.138339920948,9,6,689,11341,145,66,76.55555555555556,24.41816769498168,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.0,1885.506298053656,3555134.0,180,120,20,1,54.21428571428572,151.0,0.0,57.15165110904318,759.0,196.0,0.0,94.875,71.96950308985049,600.0,247.0,1.0,120.0,103.5142502267,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.0,64240,65160,76.55555555555556,1890.1666666666667,0,9,6,689,11341,0
80,6,840.0,14329761.904761905,17857.142857142855,10714.285714285714,7142.857142857142,9,6,696,11341,152,66,77.33333333333333,26.599916457680003,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.4666666666667,1885.344490773208,3554523.848888888,180,120,20,1,60.0,190.0,0.0,65.09443689199342,840.0,270.0,0.0,105.0,96.39502061828712,638.0,225.0,1.0,127.6,85.1154510062656,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.4666666666667,64240,65160,77.33333333333333,1890.1666666666667,0,9,6,696,11341,0
80,6,1213.0,9920857.37840066,12366.034624896947,7419.620774938169,4946.41384995878,9,6,693,11341,149,66,77.0,25.66450207322688,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.2666666666667,1885.4136404395604,3554784.595555556,180,120,20,1,86.64285714285715,242.0,0.0,83.80812025339885,1213.0,418.0,0.0,151.62499999989998,123.0172117022,1029.0,363.0,0.0,205.8,127.4776843216,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.2666666666667,64240,65160,77.0,1890.1666666666667,0,9,6,693,11341,0
80,6,859.0,14158323.632130384,19790.454016298023,11641.443538998836,8149.010477299185,10,7,755,11407,145,66,75.5,23.380547470065792,7306,66,1629.571428571429,2394.618481819053,7306,66,715.4117647058823,1716.5206963617022,2946443.301038063,200,140,20,1,53.6875,230.0,0.0,71.41841389830778,859.0,385.0,0.0,95.44444444444444,120.5534562029,666.0,230.0,1.0,111.0,93.06449376641989,1,0,2,3,0,4,15,0,0,0.7,715.4117647058823,64240,65160,75.5,1629.571428571429,0,10,7,755,11407,0
80,6,1084.0,11104243.542435426,13837.638376383766,8302.58302583026,5535.055350553506,9,6,696,11341,152,66,77.33333333333333,26.599916457680003,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.4666666666667,1885.344490773208,3554523.848888888,180,120,20,1,77.42857142857143,266.0,0.0,86.86090217428443,1084.0,284.0,0.0,135.5,112.415523839,807.0,360.0,1.0,161.4,124.9361436894,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.4666666666667,64240,65160,77.33333333333333,1890.1666666666667,0,9,6,696,11341,0
80,6,1234.0,9748784.440842789,12155.591572123176,7293.3549432739055,4862.23662884927,9,6,689,11341,145,66,76.55555555555556,24.41816769498168,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.0,1885.506298053656,3555134.0,180,120,20,1,88.14285714285715,343.0,0.0,108.5290330759,1234.0,391.0,0.0,154.24999999989998,157.2782168642,863.0,304.0,1.0,172.6,111.8384549249,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.0,64240,65160,76.55555555555556,1890.1666666666667,0,9,6,689,11341,0
80,6,1474.0,8164179.104477611,10176.3907734057,6105.834464043419,4070.55630936228,9,6,693,11341,149,66,77.0,25.66450207322688,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.2666666666667,1885.4136404395604,3554784.595555556,180,120,20,1,105.2857142857,317.0,0.0,104.0504194893,1474.0,451.0,0.0,184.25,144.5568659732,1155.0,317.0,53.0,230.9999999999,100.5484957619,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.2666666666667,64240,65160,77.0,1890.1666666666667,0,9,6,693,11341,0
80,6,1025.0,11744390.243902436,14634.146341463413,8780.487804878048,5853.658536585365,9,6,697,11341,153,66,77.44444444444444,26.911835938490835,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.5333333333333,1885.3215063278265,3554437.182222224,180,120,20,1,73.21428571428571,221.0,0.0,84.27182088882599,1025.0,319.0,0.0,128.12499999989998,112.393769289,819.0,449.0,0.0,163.79999999999998,161.40061957740002,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.5333333333333,64240,65160,77.44444444444444,1890.1666666666667,0,9,6,697,11341,0
80,6,1039.0,11578440.808469685,14436.958614051971,8662.175168431184,5774.783445620789,9,6,689,11341,145,66,76.55555555555556,24.41816769498168,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.0,1885.506298053656,3555134.0,180,120,20,1,74.21428571428572,282.0,0.0,91.33234333342988,1039.0,438.0,0.0,129.875,145.65922344630002,778.0,356.0,1.0,155.6,144.3947367461,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.0,64240,65160,76.55555555555556,1890.1666666666667,0,9,6,689,11341,0
